Posizioa,Zbkia,Porralaria,Gaur,Guztira,Eboluzioa
1,13,La Diva,936,936,0
2,4,Altza Felipa,828,828,0
3,5,Alta Felipe,796,796,0
4,8,Sor Presa,796,796,0
5,11,El Divo,796,796,0
6,14,Formolinho,796,796,0
7,28,Singana 2,796,796,0
8,31,Kokotxas taldea,796,796,0
9,39,Alper,796,796,0
10,21,Kas Naranja,780,780,0
11,26,Presape,760,760,0
12,22,Sabin Sagan,740,740,0
13,10,Baketxe 2,728,728,0
14,20,Giani Bugno,688,688,0
15,2,Keops,676,676,0
16,3,Damba,676,676,0
17,17,Andoni eta Patxi,676,676,0
18,19,Posta,676,676,0
19,23,zaja,676,676,0
20,24,Jak,676,676,0
21,25,Leas Eriz,676,676,0
22,29,Conganna 1,676,676,0
23,35,Mauricio Frondiest,676,676,0
24,37,Lasa,676,676,0
25,1,Piscinas,660,660,0
26,9,Baketxe 1,620,620,0
27,12,Juan Alberto,620,620,0
28,27,Plazako adokine,620,620,0
29,16,Patxi jorge,576,576,0
30,30,SinGanna 1,576,576,0
31,34,Van Petegen,576,576,0
32,38,Alper II,576,576,0
33,32,Penny Lane,536,536,0
34,15,Andoni Mujika,496,496,0
35,6,Fernando Alonso,456,456,0
36,7,Segur Waves,456,456,0
37,18,Healismo,456,456,0
38,33,Michele Bartoli,456,456,0
39,36,Gaizkasares,456,456,0
