Lasterketa:,1,Omloop Nieuwsblad,Mota:,S5
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,0101,VAN DER POEL Mathieu,400,39
2,1122,VAN DIJKE Tim,320,0
3,1615,VERMEERSCH Florian,260,5
4,1504,LAPORTE Christophe,220,24
5,2711,DE GENDT Aimé,180,0
6,0309,ANDRESEN Tobias Lund,140,1
7,1108,MEEUS Jordi,120,14
8,3201,TURGIS Anthony,100,0
9,2213,RENARD Alexis,80,1
10,0413,LAMPERTI Luke,68,0
11,1211,MAGNIER Paul,56,30
12,3411,KOPECKÝ Matyáš,48,0
13,1115,PITHIE Laurence,40,2
14,1610,POLITT Nils,32,1
15,3302,TRENTIN Matteo,28,2
