Lasterketa:,3,Milano - Torino,Mota:,Pro
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,2702,PIDCOCK Thomas,250,39
2,1702,JOHANNESSEN Tobias Halland,170,0
3,1101,ROGLIČ Primož,140,1
4,1118,PELLIZZARI Giulio,120,0
5,0910,UIJTDEBROEKS Cian,100,0
6,0411,CEPEDA Jefferson Alexander,80,0
7,2108,BERWICK Sebastian,70,0
8,1807,FORTUNATO Lorenzo,60,0
9,2505,FANCELLU Alessandro,50,0
10,3305,STORER Michael,40,0
11,1619,CHRISTEN Jan,30,11
12,3402,POELS Wout,20,0
13,1801,ULISSI Diego,10,0
14,1618,VERMAERKE Kevin,10,0
15,0427,BELOKI Markel,10,0
