Txirrindulari Sailkapena,,,,
Posizioa,Zbkia,Txirrindularia,Zenbatek,Puntuak
1,1601,POGAČAR Tadej,39,1300
2,2702,PIDCOCK Thomas,39,1040
3,1501,VAN AERT Wout,38,605
4,0101,VAN DER POEL Mathieu,39,600
5,0702,PEDERSEN Mads,32,440
6,0318,SEIXAS Paul,19,400
7,3401,GROENEWEGEN Dylan,0,400
8,1007,STRONG Corbin,0,360
9,1612,DEL TORO Isaac,31,325
10,0102,PHILIPSEN Jasper,37,320
11,1122,VAN DIJKE Tim,0,320
12,1615,VERMEERSCH Florian,5,288
13,1306,VENDRAME Andrea,0,280
14,0505,GRÉGOIRE Romain,6,275
15,1813,KANTER Max,0,260
16,1202,STUYVEN Jasper,29,240
17,0309,ANDRESEN Tobias Lund,1,225
18,1112,VERMEERSCH Gianni,8,225
19,1504,LAPORTE Christophe,24,220
20,2207,ANIOŁKOWSKI Stanisław,0,220
21,1619,CHRISTEN Jan,11,205
22,3302,TRENTIN Matteo,2,188
23,2711,DE GENDT Aimé,0,180
24,3306,MOZZATO Luca,0,180
25,1702,JOHANNESSEN Tobias Halland,0,170
26,0413,LAMPERTI Luke,0,148
27,1101,ROGLIČ Primož,1,140
28,1407,BITTNER Pavel,2,140
29,0210,ZAMBANINI Edoardo,0,135
30,1507,JORGENSON Matteo,21,125
31,0905,GARCÍA CORTINA Iván,0,120
32,1108,MEEUS Jordi,14,120
33,1118,PELLIZZARI Giulio,0,120
34,0809,BERCKMOES Jenno,0,110
35,0910,UIJTDEBROEKS Cian,0,100
36,1221,REX Laurenz,1,100
37,1708,KRON Andreas,0,100
38,3201,TURGIS Anthony,0,100
39,2205,ARANBURU Alex,2,95
40,0411,CEPEDA Jefferson Alexander,0,80
41,2213,RENARD Alexis,1,80
42,0323,LABROSSE Jordan,0,70
43,2108,BERWICK Sebastian,0,70
44,0814,DE SCHUYTENEER Steffen,0,68
45,1802,TEUNISSEN Mike,2,65
46,0405,HEALY Ben,37,60
47,1807,FORTUNATO Lorenzo,0,60
48,0508,PENHOËT Paul,0,56
49,1211,MAGNIER Paul,30,56
50,0203,MOHORIČ Matej,8,55
51,0403,VALGREN Michael,0,50
52,2505,FANCELLU Alessandro,0,50
53,0727,TEUTENBERG Tim Torn,0,48
54,3411,KOPECKÝ Matyáš,0,48
55,0225,ERŽEN Žak,0,40
56,0312,LAPEIRA Paul,3,40
57,1115,PITHIE Laurence,2,40
58,3305,STORER Michael,0,40
59,1213,VANSEVENANT Mauri,0,35
60,1610,POLITT Nils,1,32
61,1703,WÆRENSKJOLD Søren,4,32
62,3402,POELS Wout,0,20
63,0427,BELOKI Markel,0,10
64,1618,VERMAERKE Kevin,0,10
65,1801,ULISSI Diego,0,10
