Lasterketa:,6,E3 Saxo Classic,Mota:,S5
Sailkapena,Dortsala,Izena,Puntuak,Zenbatek
1,0101,VAN DER POEL Mathieu,400,39
2,1520,HAGENES Per Strand,320,0
3,1615,VERMEERSCH Florian,260,5
4,0310,DEWULF Stan,220,0
5,1710,ABRAHAMSEN Jonas,180,1
6,0309,ANDRESEN Tobias Lund,140,1
7,1504,LAPORTE Christophe,120,24
8,1112,VERMEERSCH Gianni,100,8
9,0702,PEDERSEN Mads,80,32
10,3302,TRENTIN Matteo,68,2
11,0612,SHEFFIELD Magnus,56,2
12,0403,VALGREN Michael,48,0
13,0809,BERCKMOES Jenno,40,0
14,1620,MORGADO António,32,1
15,0517,GRUEL Thibaud,28,0
