Posizioa,Zbkia,Porralaria,Puntuak,,Eboluzioa
,,,Gaur,Guztira,
1,13,La Diva,1185,8064,0
2,2,Keops,1185,8031,0
3,20,Giani Bugno,1035,7699,0
4,14,Formolinho,1185,7636,0
5,39,Alper,1185,7616,0
6,17,McNulty,1185,7526,1
7,8,Sor Presa,1100,7516,-1
8,19,Posta,1185,7391,2
9,29,ConGanna 1,1100,7371,-1
10,26,Presape,1225,7280,8
11,28,SinGanna 2,1185,7266,4
12,22,Sabin Sagan,1185,7245,5
13,23,zaja,1100,7223,-2
14,24,Jak,1185,7116,12
15,35,Mauricio Frondiest,1185,7116,12
16,37,Lasa,1185,7116,12
17,1,Piscinas,860,7098,-8
18,31,Kokotxas taldea,1100,7061,6
19,38,Alper II,895,7006,-6
20,25,Leñas Eriz,1185,6991,11
21,16,Filotex,860,6981,-9
22,21,Kas Naranja,860,6970,-8
23,11,El Divo,1185,6951,9
24,36,Gaizkasares,860,6931,-8
25,4,Altza Felipa,910,6908,-3
26,7,Segur Waves,860,6906,-7
27,33,Michele Bartoli,860,6894,-7
28,9,Baketxe 1,1185,6790,8
29,10,Baketxe 2,800,6784,-6
30,12,Juan Alberto,1185,6745,7
31,18,Healismo,775,6731,-6
32,3,Damba,685,6706,-11
33,30,SinGanna 1,775,6621,-3
34,15,Andoni Giocatolli,860,6576,0
35,27,Plazako adokine,825,6571,-2
36,6,Fernando Alonso,685,6558,-7
37,32,Penny Lane,775,6481,-2
38,34,Van Petegen,775,6061,0
39,5,Altza Felipe,685,5403,0
