Posizioa,Zbkia,Porreroa,Puntuak,,Eboluzioa
,,,Gaur,Guztira,
1,13,La Diva,3575,12867,0
2,2,Keops,3335,12194,0
3,20,Giani Bugno,3415,12002,2
4,39,Alper,3535,11979,6
5,19,Posta,3200,11819,-1
6,14,Formolinho,3335,11799,3
7,22,Sabin Sagan,3200,11673,1
8,8,Sor Presa,2920,11664,-5
9,26,Presape,3120,11628,-3
10,24,Jak,3200,11544,2
11,37,Lasa,3200,11544,2
12,21,Kas Naranja,3280,11446,7
13,25,Leñas Eriz,3200,11419,4
14,23,zaja,2920,11411,-7
15,35,Mauricio Frondiest,3285,11409,5
16,11,El Divo,3200,11379,2
17,1,Piscinas,3280,11314,6
18,17,McNulty,2975,11309,-4
19,33,Michele Bartoli,3040,11302,-3
20,29,ConGanna 1,2920,11299,-9
21,38,Alper II,3175,11289,0
22,7,Segur Waves,3240,11254,3
23,10,Baketxe 2,3545,11217,7
24,31,Kokotxas taldea,2920,11209,-9
25,9,Baketxe 1,3400,11198,3
26,12,Juan Alberto,3400,11153,3
27,36,Gaizkasares,3040,11079,-5
28,27,Plazako adokine,3120,10919,-1
29,28,SinGanna 2,2840,10866,-5
30,3,Damba,3200,10814,3
31,6,Fernando Alonso,3240,10766,4
32,18,Healismo,2760,10599,-6
33,4,Altza Felipa,2840,10508,-2
34,16,Filotex,2815,10436,-2
35,32,Penny Lane,2760,10349,-1
36,15,Andoni Giocatolli,2745,10141,0
37,34,Van Petegen,2760,9929,0
38,30,SinGanna 1,2400,9441,0
39,5,Altza Felipe,2400,8543,0
